name,uid,M2014,F2014,M2015,F2015,M2016,F2016,M2017,F2017,M2018,F2018,M2019,F2019,M2020,F2020,M2021,F2021,M2022,F2022,M2023,F2023,M2024,F2024,M2025,F2025
CR Balandou,E7snWt5LyVI,12879,13735,13276,14135,13672,14532,14075,14937,14488,15349,14908,15770,15337,16198,15774,16634,16219,17078,16673,17530,17134,17991,17605,18460
CR Bat� Nafadji,TmOMjE6oIaA,23725,24683,24458,25402,25186,26115,25930,26841,26689,27582,27463,28337,28252,29106,29057,29890,29877,30688,30712,31500,31563,32328,32429,33170
CR Boula,zMghPIaaJHr,7692,8151,7930,8389,8166,8624,8407,8864,8653,9109,8904,9358,9160,9613,9421,9871,9687,10135,9958,10403,10234,10677,10515,10955
CR Gb�r�dou Baranama,QZP1r2dW3qX,8657,9277,8924,9547,9190,9815,9462,10088,9739,10367,10021,10651,10310,10940,10603,11234,10903,11534,11208,11840,11518,12151,11834,12468
CU Kankan,NbgItIQsdYM,98711,96292,101757,99093,104781,101870,107872,104703,111027,107590,114245,110532,117527,113529,120872,116582,124280,119691,127750,122857,131285,126081,134885,129364
CR Karifamoriah,HvlQfVrjutz,12060,12953,12433,13331,12803,13705,13181,14086,13567,14475,13961,14872,14362,15276,14772,15687,15189,16106,15613,16532,16046,16967,16486,17409
CR Koumban,qNybaQIe3nd,9939,11401,10246,11734,10551,12063,10863,12399,11182,12742,11507,13091,11838,13447,12176,13810,12520,14179,12870,14555,13227,14938,13590,15327
CR Mamouroudou,xHx697Z8Ks0,7116,7709,7336,7934,7554,8157,7777,8384,8005,8615,8238,8851,8475,9092,8716,9337,8962,9586,9213,9840,9468,10098,9728,10362
CR Missamana,PIsinT0mQ4q,8684,9443,8953,9718,9219,9991,9492,10269,9770,10553,10053,10842,10342,11137,10637,11436,10938,11742,11243,12053,11555,12370,11872,12692
CR Moribayah,GKEVk1N2Sr4,7068,7443,7287,7660,7504,7875,7725,8094,7951,8317,8182,8545,8417,8777,8657,9013,8902,9254,9150,9499,9404,9748,9662,10003
CR Sabadou Baranama,QpMEJnUcs7E,11322,12136,11672,12489,12020,12840,12375,13197,12737,13562,13107,13933,13484,14311,13868,14697,14259,15089,14658,15489,15064,15896,15478,16310
CR Tinti Oulen,Lj28Q4cjrGF,10405,11281,10726,11610,11046,11936,11372,12268,11705,12607,12045,12952,12391,13304,12745,13662,13105,14027,13471,14399,13844,14777,14224,15162
CR Tokounou,tUAgW5sDn5C,15812,17322,16301,17827,16786,18327,17282,18838,17789,19358,18305,19889,18832,20429,19369,20979,19916,21539,20473,22110,21040,22691,21618,23283
DPS Kankan,Z71gNmPnc22,1,0,1,0,-1,-2,1,1,0,2,1,0,1,-2,1,-1,-1,-2,2,-2,2,-2,2,-1
CR Banankoro,zeSZmFRE7pa,33924,33287,34970,34255,36010,35215,37072,36195,38157,37193,39263,38210,40391,39246,41540,40301,42712,41376,43904,42471,45119,43586,46356,44721
CR Damaro,YqFDWp4Fmte,13289,14358,13700,14776,14108,15191,14525,15614,14950,16045,15384,16485,15826,16933,16277,17388,16737,17853,17205,18326,17682,18807,18167,19298
CU K�rouan�,vo1HkVIdzQT,18040,18600,18597,19141,19150,19678,19715,20226,20292,20784,20881,21353,21481,21932,22093,22522,22716,23124,23351,23736,23998,24359,24656,24994
CR Komodou,RIvg1IZqZaW,10753,11030,11085,11351,11415,11669,11752,11994,12096,12325,12447,12662,12804,13006,13169,13356,13541,13712,13919,14075,14304,14445,14697,14821
CR Konsankoro,rUtPhHQzsrj,3356,3621,3459,3727,3562,3831,3668,3938,3775,4047,3885,4157,3996,4270,4110,4385,4226,4502,4344,4622,4465,4743,4587,4867
CR Linko,REFLwu5sZcX,5643,6046,5818,6222,5991,6397,6168,6575,6349,6757,6533,6942,6721,7130,6912,7322,7107,7518,7306,7717,7509,7920,7715,8126
CR Sibiribaro,LRPTAGa1bqw,8263,8811,8519,9068,8772,9323,9031,9582,9296,9847,9566,10116,9841,10391,10121,10671,10407,10956,10698,11246,10994,11541,11296,11842
CR Soromaya,CUFXNjuBZxJ,9789,10639,10092,10949,10392,11256,10699,11570,11013,11890,11332,12215,11658,12547,11991,12885,12329,13229,12674,13579,13025,13936,13383,14300
DPS K�rouan�,dkWnjo1bSrU,0,0,0,1,0,0,0,-1,-1,-1,-1,0,1,0,2,1,1,-1,2,-1,1,0,1,-1
CR Babila,GO5I1rywxrH,7681,8259,7918,8500,8154,8739,8395,8982,8641,9230,8892,9483,9147,9740,9408,10002,9674,10270,9944,10542,10220,10819,10500,11101
CR Balato,OAVHV9V4r06,8049,8505,8298,8752,8545,8998,8797,9248,9055,9504,9318,9764,9586,10029,9859,10299,10137,10574,10420,10854,10709,11139,11003,11429
CR Banf�l�,Kpjb9Hhj7kX,12090,12787,12464,13159,12835,13528,13214,13905,13601,14289,13995,14680,14398,15079,14808,15485,15226,15898,15652,16319,16085,16748,16527,17184
CR Baro,YSfixbtZGqe,7516,8105,7748,8341,7978,8575,8214,8814,8455,9057,8700,9306,8950,9558,9205,9816,9465,10078,9730,10345,10000,10617,10274,10893
CR Ciss�la,GHapafaONLx,20410,21714,21041,22347,21667,22974,22307,23613,22960,24265,23627,24930,24306,25607,24999,26296,25704,26998,26423,27713,27155,28441,27900,29183
CR Douako,ni1Cvoov0t1,11040,12592,11381,12959,11720,13323,12067,13694,12420,14073,12781,14459,13149,14852,13524,15252,13906,15660,14295,16075,14692,16497,15095,16928
CR Doura,yqXgABITy5e,9202,9634,9486,9915,9768,10193,10057,10476,10351,10766,10652,11060,10958,11360,11270,11666,11588,11978,11912,12295,12242,12618,12578,12947
CR Kini�ro,nCcxJQpsG86,10873,11632,11209,11971,11543,12307,11884,12650,12232,12999,12587,13355,12949,13718,13318,14087,13694,14463,14077,14846,14467,15236,14864,15633
CR Komola Khoura,lKYJIVOkZa0,6821,7346,7032,7560,7241,7772,7455,7989,7674,8209,7896,8434,8123,8663,8355,8896,8591,9134,8831,9376,9076,9622,9325,9873
CR Koumana,QPdwWSxVytS,6287,6635,6482,6828,6674,7019,6872,7215,7073,7414,7278,7617,7487,7824,7701,8034,7918,8249,8139,8467,8365,8690,8594,8916
CU Kouroussa,yNAe4gtdwBr,19894,19865,20508,20443,21117,21016,21741,21601,22377,22197,23025,22804,23687,23423,24361,24053,25048,24694,25748,25348,26461,26013,27187,26691
CR Sanguiana,QIPjvN36cbq,11675,12260,12035,12617,12393,12971,12759,13332,13133,13700,13514,14075,13902,14457,14299,14846,14702,15243,15113,15646,15532,16057,15958,16476
DPS Kouroussa,kVULorkd7Vt,0,-1,0,0,2,0,-1,1,-1,1,0,-1,1,-1,0,0,1,-2,2,-1,-2,0,0,1
CR Balandougouba,ePQPUCsUAMh,14350,14600,14793,15025,15233,15447,15683,15876,16142,16315,16610,16761,17087,17216,17574,17679,18069,18151,18574,18631,19089,19120,19612,19618
CR Dialakoro,uWfLv71b1gA,32087,31545,33077,32463,34060,33372,35065,34301,36091,35247,37137,36211,38204,37192,39291,38193,40399,39211,41528,40249,42677,41305,43847,42381
CR Faralako,HoszwtOm7tI,11955,12213,12324,12569,12691,12921,13065,13281,13448,13648,13838,14021,14236,14401,14641,14789,15054,15184,15475,15585,15903,15995,16339,16412
CR Kantoumanina,ixIn4S1jxQL,5889,5930,6071,6103,6251,6274,6436,6448,6624,6626,6816,6808,7012,6992,7211,7180,7415,7372,7622,7567,7833,7766,8048,7968
CR Kini�ran,Oz8WuWqyBPu,19164,19062,19755,19617,20343,20167,20943,20728,21556,21299,22181,21882,22818,22475,23468,23080,24129,23695,24803,24322,25490,24961,26189,25611
CR Koundianakoro,ggV9KQFVEnf,15635,16158,16118,16629,16597,17095,17087,17571,17587,18056,18097,18550,18618,19054,19148,19566,19688,20089,20238,20621,20799,21162,21369,21714
CR Koundian,hM4e6UiYJAI,16150,16501,16649,16981,17144,17457,17650,17943,18167,18438,18694,18943,19231,19457,19779,19980,20337,20513,20905,21056,21484,21609,22073,22172
CU Mandiana,s1OcaDimoY5,11741,11187,12103,11512,12463,11835,12830,12164,13206,12499,13588,12841,13978,13189,14376,13543,14781,13905,15194,14272,15614,14647,16042,15028
CR Morodou,XX532XKmUgf,14043,14650,14477,15076,14908,15499,15348,15931,15797,16370,16255,16819,16723,17275,17199,17740,17685,18213,18179,18696,18682,19187,19195,19687
CR Niantanina,iNK7GP97jUz,7468,7137,7699,7345,7927,7550,8161,7760,8400,7974,8643,8192,8891,8414,9144,8641,9402,8871,9664,9105,9932,9344,10204,9588
CR Saladou,ofnUKUnR7sZ,9185,9229,9468,9498,9750,9764,10038,10036,10331,10313,10631,10595,10936,10882,11248,11175,11565,11473,11888,11777,12217,12086,12552,12401
CR Sansando,pcJETgNolTC,11720,11436,12082,11769,12441,12099,12808,12435,13182,12778,13564,13128,13954,13484,14351,13846,14756,14215,15168,14591,15588,14974,16015,15364
DPS Mandiana,ISZZ5m7PYAC,0,1,-1,0,-1,1,0,0,-1,0,1,-2,-1,0,0,0,1,0,1,0,-1,0,2,-1
CR Bankon,FgnsmBxSYDj,9545,8886,9839,9144,10132,9400,10430,9662,10735,9928,11046,10199,11363,10476,11686,10757,12016,11044,12351,11336,12693,11633,13040,11936
CR Doko,q2iAGrr9aEz,39028,39419,40233,40566,41429,41703,42652,42864,43900,44046,45173,45252,46471,46479,47795,47729,49143,49003,50516,50300,51914,51621,53338,52965
CR Franwalia,MzJnFLIUXYf,14911,14630,15371,15056,15828,15478,16295,15909,16772,16347,17258,16794,17754,17250,18259,17714,18774,18186,19298,18667,19832,19157,20376,19656
CR Kini�bakoura,Ol6EkTnCLcY,14520,14405,14969,14825,15414,15240,15869,15664,16333,16096,16806,16536,17289,16985,17781,17442,18283,17907,18793,18381,19314,18863,19843,19355
CR Kintinian,ftSXZXB2Ym7,63521,62428,65481,64244,67427,66045,69417,67881,71447,69754,73518,71661,75630,73604,77783,75584,79976,77600,82210,79652,84485,81743,86801,83872
